City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
94,Canaries,ES,28.0,-15.5,64.4,68,40,27.63,scattered clouds
95,Beckley,US,37.7782,-81.1882,74.7,60,1,6.91,clear sky
96,Manggar,ID,-2.8833,108.2667,82.22,73,76,10.87,broken clouds
97,Cayenne,GF,4.9333,-52.3333,83.08,79,0,1.99,clear sky
98,Airai,TL,-8.9266,125.4092,66.99,62,25,4.45,scattered clouds
99,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.94,74,78,9.86,broken clouds
100,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,22,0,18.41,clear sky
101,Victoria,HK,22.2855,114.1577,87.24,87,95,1.01,light rain
102,Sitka,US,57.0531,-135.33,62.49,72,75,0.0,broken clouds
103,Bambous Virieux,MU,-20.3428,57.7575,66.22,66,47,11.81,scattered clouds
104,Constitucion,CL,-35.3333,-72.4167,53.6,67,0,7.02,clear sky
105,Coquimbo,CL,-29.9533,-71.3436,53.33,93,20,1.14,few clouds
106,Tuktoyaktuk,CA,69.4541,-133.0374,50.13,86,98,12.8,overcast clouds
107,Vao,NC,-22.6667,167.4833,66.96,56,43,10.51,scattered clouds
108,Butaritari,KI,3.0707,172.7902,83.21,68,8,9.6,clear sky
109,Dombarovskiy,RU,50.7587,59.5386,72.19,57,41,6.26,scattered clouds
110,Novobiryusinskiy,RU,56.9578,97.7076,58.12,94,100,1.25,overcast clouds
111,Codrington,AU,-38.2667,141.9667,49.82,77,2,18.28,clear sky
112,Lensk,RU,60.7253,114.9278,67.96,52,100,6.49,overcast clouds
113,Hamilton,US,39.1834,-84.5333,77.0,57,20,4.0,few clouds
114,Balkhash,KZ,46.844,74.9804,76.3,44,5,10.92,clear sky
115,Yibin,CN,28.7667,104.6238,77.49,72,0,3.13,clear sky
116,Khatanga,RU,71.9667,102.5,65.07,65,41,9.57,scattered clouds
117,Sinnamary,GF,5.3833,-52.95,78.66,82,51,7.74,broken clouds
118,Te Anau,NZ,-45.4167,167.7167,47.61,85,99,2.08,overcast clouds
119,Vardo,NO,70.3705,31.1107,50.07,98,100,4.61,overcast clouds
120,Saint-Georges,GD,12.0564,-61.7485,80.22,81,9,12.01,clear sky
121,Luangwa,ZM,-15.6167,30.4167,58.41,79,0,2.77,clear sky
